Партія,ТВО,№Р,Кандидат,Голосів,Голосів словами,%,Обраний?
Свобода,1,1,Гелевей Олег Іванович,389,триста вісімдесят дев'ять,"0,67",Партія не пройшла
Голос,1,7,Литвин Василь Миколайович,386,триста вісімдесят шість,"0,67",Не пройшов
УДАР,1,5,Олійник Ярослав Анатолійович,384,триста вісімдесят чотири,"0,67",Не пройшов
Голос,6,2,Царенко Ілля Федорович,286,двісті вісімдесят шість,"0,67",Не пройшов
Свобода,8,1,Пульмановський Дмитро Сергійович,181,сто вісімдесят один,"0,67",Партія не пройшла
ОПЗЖ,8,3,Плужник Олександр Анатолійович,181,сто вісімдесят один,"0,67",Міський список
Перемога Пальчевського,7,3,Александров Олександр Валерійович,481,чотириста вісімдесят один,"0,66",Партія не пройшла
Свобода,1,4,Соколенко Ірина Володимирівна,381,триста вісімдесят один,"0,66",Партія не пройшла
Слуга народу,6,6,Присяжнюк Михайло Олексійович,284,двісті вісімдесят чотири,"0,66",Міський список
УДАР,6,5,Хан Юлія Миколаївна,281,двісті вісімдесят один,"0,66",Не пройшов
Слуга народу,3,3,Костюк Андрій Володимирович,302,триста два,"0,65",Не пройшов
УДАР,5,7,Шавло Світлана Михайлівна,282,двісті вісімдесят два,"0,65",Не пройшов
Слуга народу,11,4,Ушкалова Катерина Ігорівна,274,двісті сімдесят чотири,"0,65",Не пройшов
Європейська солідарність,8,2,Сікліцький Борис Віталійович,176,сто сімдесят шість,"0,65",Не пройшов
Свобода,2,1,Бохняк Володимир Ярославович,618,шістсот вісімнадцять,"0,64",Партія не пройшла
Голос,11,4,Балко Олексій Іванович,270,двісті сімдесят,"0,64",Не пройшов
Слуга народу,8,3,Кучеренко Тетяна Євгенівна,173,сто сімдесят три,"0,64",Не пройшов
ОПЗЖ,2,3,Дубій Ігор Валерійович,608,шістсот вісім,"0,63",Не пройшов
Слуга народу,12,10,Горбань Дмитро Андрійович,473,чотириста сімдесят три,"0,63",Не пройшов
Європейська солідарність,1,10,Ковальчук Ростислав Володимирович,364,триста шістдесят чотири,"0,63",Не пройшов
ОПЗЖ,10,8,Толстоухов Сергій Вікторович,273,двісті сімдесят три,"0,63",Не пройшов
Європейська солідарність,5,5,Нікітенко Марина Миколаївна,272,двісті сімдесят два,"0,63",Не пройшов
Єдність Олександра Омельченка,11,6,Бондаренко Дмитро Олегович,264,двісті шістдесят чотири,"0,63",Не пройшов
Слуга народу,8,4,Говорова Олена Іванівна,170,сто сімдесят,"0,63",Міський список
Слуга народу,2,4,Слюсарев Тихон Олександрович,600,шістсот,"0,62",Не пройшов
УДАР,2,2,Макаренко Максим Анатолійович,599,п'ятсот дев'яносто дев'ять,"0,62",У ТВО
Слуга народу,12,7,Єрофєєв Андрій Сергійович,462,чотириста шістдесят два,"0,62",Не пройшов
Європейська солідарність,7,7,Зарубіна Христина Євгеніївна,453,чотириста п'ятдесят три,"0,62",Не пройшов
ОПЗЖ,13,5,Аніщенко Дмитро Валерійович,349,триста сорок дев'ять,"0,62",Не пройшов
Демократична сокира,9,1,Залізняк Костянтин Петрович,294,двісті дев'яносто чотири,"0,62",Партія не пройшла
Слуга народу,5,4,Вдовиченко Геннадій Павлович,266,двісті шістдесят шість,"0,62",Не пройшов
Батьківщина,6,2,Ковальчук Ольга Олександрівна,264,двісті шістдесят чотири,"0,62",Не пройшов
ОПЗЖ,6,3,Штерн Наталя Станіславівна,264,двісті шістдесят чотири,"0,62",Не пройшов
Екологічна альтернатива,2,1,Казанський Денис Вікторович,584,п'ятсот вісімдесят чотири,"0,61",Партія не пройшла
Єдність Олександра Омельченка,9,5,Вельгус В’ячеслав Іванович,286,двісті вісімдесят шість,"0,61",Не пройшов
Єдність Олександра Омельченка,1,3,Куркіна Наталія Миколаївна,348,триста сорок вісім,"0,6",Не пройшов
Свобода,4,6,Сиротюк Юрій Миколайович,283,двісті вісімдесят три,"0,6",Партія не пройшла
Голос,4,2,Андрійшина Тетяна Миколаївна,282,двісті вісімдесят два,"0,6",Не пройшов
Єдність Олександра Омельченка,12,6,Костюченко Олександр Віталійович,438,чотириста тридцять вісім,"0,59",Не пройшов
Слуга народу,7,6,Кучерявий Олександр Олександрович,429,чотириста двадцять дев'ять,"0,59",Не пройшов
УДАР,4,10,Кобзаренко Олеся Володимирівна,278,двісті сімдесят вісім,"0,59",Не пройшов
Голос,8,2,Сергієнко Дмитро Миколайович,161,сто шістдесят один,"0,59",Не пройшов
Європейська солідарність,12,5,Хемраєва Леся Олексіївна,431,чотириста тридцять один,"0,58",Не пройшов
Європейська солідарність,6,9,Пасєчко Захар Васильович,251,двісті п'ятдесят один,"0,58",Не пройшов
УДАР,13,11,Андронов Владислав Євгенович,323,триста двадцять три,"0,57",Міський список
Голос,6,5,Севастьянова Ніна Ігорівна,243,двісті сорок три,"0,57",Не пройшов
Свобода,7,1,Хрущ Марія Ігорівна,407,чотириста сім,"0,56",Партія не пройшла
Європейська солідарність,1,7,Савченко Наталія Григорівна,323,триста двадцять три,"0,56",Не пройшов
УДАР,1,7,Марі Ігор Владиславович,323,триста двадцять три,"0,56",Не пройшов
УДАР,1,10,Кушнір Ілля Ігорович,322,триста двадцять два,"0,56",Не пройшов
Рідна країна,13,1,Федоренко Олександр Вікторович,318,триста вісімнадцять,"0,56",Партія не пройшла
Народовладдя,8,1,Петренко Юрій Олександрович,153,сто п'ятдесят три,"0,56",Партія не пройшла
Єдність Олександра Омельченка,8,3,Богаченко Любов Іванівна,151,сто п'ятдесят один,"0,56",Не пройшов
УДАР,12,12,Валєєва Ольга Іванівна,413,чотириста тринадцять,"0,55",Не пройшов
ОПЗЖ,7,6,Пушкарьов Олександр Володимирович,406,чотириста шість,"0,55",Не пройшов
Демократична сокира,4,1,Морозова Христина Олегівна,258,двісті п'ятдесят вісім,"0,55",Партія не пройшла
УДАР,4,11,Бусаєв Олексій Вікторович,258,двісті п'ятдесят вісім,"0,55",Не пройшов
Голос,3,2,Холод Олександр Миколайович,254,двісті п'ятдесят чотири,"0,55",Не пройшов
Європейська солідарність,10,2,Візір Альона Сергіївна,239,двісті тридцять дев'ять,"0,55",Не пройшов
Європейська солідарність,2,8,Чумак Вікторія Віталіївна,517,п'ятсот сімнадцять,"0,54",Не пройшов
Єдність Олександра Омельченка,12,4,Саламатін Олександр Володимирович,407,чотириста сім,"0,54",Не пройшов
ОПЗЖ,12,7,Вишневська Валентина Юліївна,401,чотириста один,"0,54",Не пройшов
Єдність Олександра Омельченка,7,5,Горбань Ілля Іванович,393,триста дев'яносто три,"0,54",Не пройшов
УДАР,13,8,Желябовська Яна Олегівна,306,триста шість,"0,54",Не пройшов
ОПЗЖ,13,3,Симуніна Юлія Миколаївна,305,триста п'ять,"0,54",Міський список
Європейська солідарність,9,6,Савранська Валентина Олександрівна,256,двісті п'ятдесят шість,"0,54",Не пройшов
Рідна країна,9,1,Христинченко Дмитро Олексійович,253,двісті п'ятдесят три,"0,54",Партія не пройшла
Перемога Пальчевського,6,1,Логінов Віталій Вікторович,230,двісті тридцять,"0,54",Партія не пройшла
Голос,2,7,Герасименко Володимир Григорович,510,п'ятсот десять,"0,53",Не пройшов
Демократична сокира,2,1,Паєвська Юлія Георгіївна,510,п'ятсот десять,"0,53",Партія не пройшла
Слуга народу,7,11,Кушнір Богдан Сергійович,391,триста дев'яносто один,"0,53",Не пройшов
Єдність Олександра Омельченка,7,6,Пасечник Ілона Олегівна,386,триста вісімдесят шість,"0,53",Не пройшов
Єдність Олександра Омельченка,4,4,Богатирьова Леся Василівна,248,двісті сорок вісім,"0,53",Не пройшов
Європейська солідарність,3,10,Літвін Злата Ярославівна,247,двісті сорок сім,"0,53",Не пройшов
Рідна країна,10,1,Гордієнко Алла Іванівна,229,двісті двадцять дев'ять,"0,53",Партія не пройшла
Європейська солідарність,6,5,Білан Тетяна Василівна,228,двісті двадцять вісім,"0,53",Не пройшов
УДАР,7,7,Гершун Юлія Валеріївна,383,триста вісімдесят три,"0,52",Не пройшов
УДАР,1,3,Олексюк Надія Юріївна,299,двісті дев'яносто дев'ять,"0,52",Не пройшов
Європейська солідарність,13,3,Меметов Айяр Назім Огли,293,двісті дев'яносто три,"0,52",Не пройшов
Голос,9,4,Марусик Микола Тарасович,246,двісті сорок шість,"0,52",Не пройшов
Слуга народу,9,2,Кужільний Ігор Григорович,244,двісті сорок чотири,"0,52",Не пройшов
Європейська солідарність,3,9,Хоростецька Марія Дмитрівна,240,двісті сорок,"0,52",Не пройшов
Свобода,5,2,Ярема Іван Іванович,227,двісті двадцять сім,"0,52",Партія не пройшла
Слуга народу,6,7,Смірнова Віка В’ячеславівна,224,двісті двадцять чотири,"0,52",Не пройшов
Європейська солідарність,10,8,Горбачевський Владислав Юрійович,223,двісті двадцять три,"0,52",Не пройшов
Єдність Олександра Омельченка,2,8,Графський Дмитро Петрович,493,чотириста дев'яносто три,"0,51",Не пройшов
Голос,7,3,Яригін Сергій Валентинович,375,триста сімдесят п'ять,"0,51",Не пройшов
УДАР,13,7,Филиппов Ігор Олегович,287,двісті вісімдесят сім,"0,51",Не пройшов
Єдність Олександра Омельченка,13,5,Гарасим’юк Олександр Іванович,287,двісті вісімдесят сім,"0,51",Не пройшов
Єдність Олександра Омельченка,13,12,Омельченко Олександр Олександрович,285,двісті вісімдесят п'ять,"0,51",Не пройшов
Голос,5,2,Ярусевич Олександр Іванович,222,двісті двадцять два,"0,51",Не пройшов
Партія Шарія,12,3,Коваленко Ганна Миколаївна,372,триста сімдесят два,"0,5",Партія не пройшла
Демократична сокира,6,1,Алексіна Надія Юріївна,215,двісті п'ятнадцять,"0,5",Партія не пройшла
Слуга народу,8,7,Дячук Михайло Дмитрович,136,сто тридцять шість,"0,5",Не пройшов
Голос,8,6,Захарова Валерія Анатоліївна,135,сто тридцять п'ять,"0,5",Не пройшов
ОПЗЖ,2,4,Гарькавий Ілля Ігорович,472,чотириста сімдесят два,"0,49",Не пройшов
Європейська солідарність,12,10,Хитушко Катерина Романівна,364,триста шістдесят чотири,"0,49",Не пройшов
ОПЗЖ,1,5,Кабанова Ольга Олегівна,286,двісті вісімдесят шість,"0,49",Не пройшов
Слуга народу,4,5,Пашинна Лілія Василівна,229,двісті двадцять дев'ять,"0,49",Міський список
Свобода,7,6,Мохник Андрій Володимирович,351,триста п'ятдесят один,"0,48",Партія не пройшла
Єдність Олександра Омельченка,1,6,Брушківська Юлія Миколаївна,280,двісті вісімдесят,"0,48",Не пройшов
Єдність Олександра Омельченка,9,10,Омельченко Олена Миколаївна,229,двісті двадцять дев'ять,"0,48",Не пройшов
Рідна країна,4,1,Суворов Олексій Юрійович,228,двісті двадцять вісім,"0,48",Партія не пройшла
УДАР,4,9,Петрова Тетяна Дмитрівна,228,двісті двадцять вісім,"0,48",Не пройшов
ОПЗЖ,3,4,Баркалова Елеонора Леонідівна,222,двісті двадцять два,"0,48",Не пройшов
УДАР,6,6,Ковшун Євген Миколайович,207,двісті сім,"0,48",Не пройшов
Голос,2,2,Болдирєв Олег Олександрович,453,чотириста п'ятдесят три,"0,47",Не пройшов
УДАР,12,8,Канюра Олександр Андрійович,349,триста сорок дев'ять,"0,47",Не пройшов
Європейська солідарність,1,8,Орлова Наталія Віталіївна,271,двісті сімдесят один,"0,47",Не пройшов
Слуга народу,1,5,Бєлоцька Ірина Володимирівна,269,двісті шістдесят дев'ять,"0,47",Не пройшов
УДАР,1,6,Буданова Маріанна Олександрівна,269,двісті шістдесят дев'ять,"0,47",Не пройшов
Слуга народу,3,4,Скрипнікова Катерина Сергіївна,217,двісті сімнадцять,"0,47",Не пройшов
Рідна країна,6,1,Дацюк Микола Євгенійович,201,двісті один,"0,47",Партія не пройшла
Слуга народу,6,4,Олицька Анна Михайлівна,201,двісті один,"0,47",Не пройшов
УДАР,2,11,Русіна Юлія Олександрівна,444,чотириста сорок чотири,"0,46",Не пройшов
Батьківщина,12,2,Ніколенко Галина Василівна,346,триста сорок шість,"0,46",Не пройшов
Перемога Пальчевського,1,2,Губенков Федір Миколайович,267,двісті шістдесят сім,"0,46",Партія не пройшла
За майбутнє,1,1,Калініченко Олег В’ячеславович,266,двісті шістдесят шість,"0,46",Партія не пройшла
Перемога Пальчевського,1,1,Гречок Юлія Олександрівна,266,двісті шістдесят шість,"0,46",Партія не пройшла
Перемога Пальчевського,6,3,Загоровський Руслан Володимирович,200,двісті,"0,46",Партія не пройшла
Слуга народу,10,3,Дзьоба Тарас Ігорович,199,сто дев'яносто дев'ять,"0,46",Не пройшов
УДАР,11,5,Болдирєва Наталія Григорівна,194,сто дев'яносто чотири,"0,46",Не пройшов
Рідна країна,2,1,Старовойт Олексій Васильович,433,чотириста тридцять три,"0,45",Партія не пройшла
Батьківщина,2,4,Слуцька Наталія Олексіївна,430,чотириста тридцять,"0,45",Не пройшов
Європейська солідарність,7,10,Ружина Анастасія Олегівна,332,триста тридцять два,"0,45",Не пройшов
Голос,1,2,Кулібаба Андрій Юрійович,262,двісті шістдесят два,"0,45",Не пройшов
Сила і честь,1,4,Коваленко Юрій Іванович,261,двісті шістдесят один,"0,45",Партія не пройшла
Голос,1,5,Іванюк Анна Леонідівна,260,двісті шістдесят,"0,45",Не пройшов
Єдність Олександра Омельченка,4,3,Булах Михайло Володимирович,212,двісті дванадцять,"0,45",Не пройшов
Єдність Олександра Омельченка,3,7,Вахницька Олена Володимирівна,208,двісті вісім,"0,45",Не пройшов
Єдність Олександра Омельченка,10,5,Воронюк Жанна Борисівна,197,сто дев'яносто сім,"0,45",Не пройшов
Демократична сокира,10,1,Калішкін Георгій Георгійович,194,сто дев'яносто чотири,"0,45",Партія не пройшла
Батьківщина,11,7,Грищенко Сергій Михайлович,191,сто дев'яносто один,"0,45",Не пройшов
УДАР,2,3,Чечеринда Єгор Володимирович,429,чотириста двадцять дев'ять,"0,44",Не пройшов
ОПЗЖ,2,5,Плахтій Леся Вікторівна,429,чотириста двадцять дев'ять,"0,44",Не пройшов
Слуга народу,12,9,Головатенко Ірина Олександрівна,328,триста двадцять вісім,"0,44",Не пройшов
ОПЗЖ,7,5,Ткачова Яніна Василівна,326,триста двадцять шість,"0,44",Не пройшов
Сила і честь,1,2,Тимошенко Володимир Андрійович,257,двісті п'ятдесят сім,"0,44",Партія не пройшла
Перемога Пальчевського,9,3,Шушурина Анна Анатоліївна,209,двісті дев'ять,"0,44",Партія не пройшла
Партія Шарія,8,5,Кононенко Наталія Юріївна,120,сто двадцять,"0,44",Партія не пройшла
Батьківщина,8,8,Матвієнко Олександр Анатолійович,119,сто дев'ятнадцять,"0,44",Не пройшов
УДАР,2,7,Балацій Ігор Миколайович,415,чотириста п'ятнадцять,"0,43",Не пройшов
Демократична сокира,12,2,Ходоловський Єлісей Костянтинович,320,триста двадцять,"0,43",Партія не пройшла
Слуга народу,12,11,Устенко Олександр Сергійович,320,триста двадцять,"0,43",Не пройшов
Еко партія Берези,12,2,Марченко Віктор Станіславович,319,триста дев'ятнадцять,"0,43",Партія не пройшла
Голос,7,6,Овчаренко Віталій Євгенович,318,триста вісімнадцять,"0,43",Не пройшов
Європейська солідарність,7,6,Кухарський Максим Анатолійович,313,триста тринадцять,"0,43",Не пройшов
Рідна країна,1,1,Ржевський Геннадій Миколайович,247,двісті сорок сім,"0,43",Партія не пройшла
Європейська солідарність,13,10,Волков Ігор Андрійович,241,двісті сорок один,"0,43",Не пройшов
Голос,11,7,Міхальова Ірина Анатоліївна,181,сто вісімдесят один,"0,43",Не пройшов
Єдність Олександра Омельченка,13,4,Бродський Андрій Ігорович,239,двісті тридцять дев'ять,"0,42",Не пройшов
Сила і честь,4,5,Ткаченко Андрій Павлович,200,двісті,"0,42",Партія не пройшла
Перемога Пальчевського,9,2,Гончаренко Марія Євгенівна,197,сто дев'яносто сім,"0,42",Партія не пройшла
Еко партія Берези,3,1,Ступка Устина Остапівна,196,сто дев'яносто шість,"0,42",Партія не пройшла
Демократична сокира,3,1,Мороцька Наталія Миколаївна,195,сто дев'яносто п'ять,"0,42",Партія не пройшла
Сила і честь,10,2,Слободянюк Таміла Петрівна,184,сто вісімдесят чотири,"0,42",Партія не пройшла
Рідна країна,5,1,Різник Валентина Анатоліївна,182,сто вісімдесят два,"0,42",Партія не пройшла
Партія Шарія,6,3,Савенко Анастасія Олегівна,180,сто вісімдесят,"0,42",Партія не пройшла
Батьківщина,6,4,Плахотнюк Олена Михайлівна,179,сто сімдесят дев'ять,"0,42",Не пройшов
Рідна країна,8,1,Аніськович Павло Юрійович,115,сто п'ятнадцять,"0,42",Партія не пройшла
Голос,2,4,Маленко Григорій Сергійович,394,триста дев'яносто чотири,"0,41",Міський список
Рідна країна,12,1,Кулінченко Олександр Сергійович,306,триста шість,"0,41",Партія не пройшла
ОПЗЖ,7,4,Жогін Костянтин Євгенович,298,двісті дев'яносто вісім,"0,41",Не пройшов
Слуга народу,1,7,Ісаєва Дар’я Владиславівна,237,двісті тридцять сім,"0,41",Не пройшов
Європейська солідарність,9,10,Гусаков Олексій Валентинович,196,сто дев'яносто шість,"0,41",Не пройшов
Батьківщина,3,8,Денисова Оксана Володимирівна,192,сто дев'яносто два,"0,41",Не пройшов
ОПЗЖ,3,7,Борисова Алла Володимирівна,191,сто дев'яносто один,"0,41",Не пройшов
ОПЗЖ,10,3,Гуленко Денис Вікторович,178,сто сімдесят вісім,"0,41",Не пройшов
Голос,5,4,Ведмеденко Юлія Василівна,176,сто сімдесят шість,"0,41",Не пройшов
Єдність Олександра Омельченка,5,3,Бобровник Олена Іванівна,176,сто сімдесят шість,"0,41",Не пройшов
ОПЗЖ,8,4,Давидова Олена Вікторівна,113,сто тринадцять,"0,41",Не пройшов
Єдність Олександра Омельченка,8,1,Постніков Павло Олександрович,112,сто дванадцять,"0,41",Не пройшов
Партія Шарія,12,2,Левченко Юрій Володимирович,302,триста два,"0,4",Партія не пройшла
Голос,12,4,Гнатовська Ксенія Дмитрівна,301,триста один,"0,4",Не пройшов
Голос,12,8,Забродська Олена Степанівна,299,двісті дев'яносто дев'ять,"0,4",Не пройшов
Європейська солідарність,12,9,Дем’янюк Сергій Андрійович,298,двісті дев'яносто вісім,"0,4",Не пройшов
Партія Шарія,7,2,Іонов Сергій Вікторович,291,двісті дев'яносто один,"0,4",Партія не пройшла
Європейська солідарність,13,9,Кравчук Тетяна Андріївна,225,двісті двадцять п'ять,"0,4",Не пройшов
Сила і честь,9,2,Бутенко Сергій Віталійович,189,сто вісімдесят дев'ять,"0,4",Партія не пройшла
Європейська солідарність,9,9,Косіцина Іванна Ігорівна,189,сто вісімдесят дев'ять,"0,4",Не пройшов
Європейська солідарність,6,8,Шкарлат Ігор Володимирович,171,сто сімдесят один,"0,4",Не пройшов
Свобода,8,2,Коваль Юрій Олексійович,110,сто десять,"0,4",Партія не пройшла
Перемога Пальчевського,2,4,Кузенний Дмитро Сергійович,380,триста вісімдесят,"0,39",Партія не пройшла
Слуга народу,7,5,Батаєва Алла Ігорівна,290,двісті дев'яносто,"0,39",Не пройшов
Перемога Пальчевського,1,3,Олійник Олег Олегович,227,двісті двадцять сім,"0,39",Партія не пройшла
Перемога Пальчевського,1,4,Клименко Павло Григорович,227,двісті двадцять сім,"0,39",Партія не пройшла
Голос,13,7,Іванюк Руслан Васильович,221,двісті двадцять один,"0,39",Не пройшов
Європейська солідарність,13,8,Буран Олена Олександрівна,219,двісті дев'ятнадцять,"0,39",Не пройшов
Єдність Олександра Омельченка,3,5,Бобось Олександр Леонідович,181,сто вісімдесят один,"0,39",Не пройшов
Єдність Олександра Омельченка,3,3,Литовченко Наталія Володимирівна,180,сто вісімдесят,"0,39",Не пройшов
Партія Шарія,5,2,Наконечний Володимир Григорович,169,сто шістдесят дев'ять,"0,39",Партія не пройшла
УДАР,5,8,Савранський Рустам Соліхджонович,168,сто шістдесят вісім,"0,39",Не пройшов
Європейська солідарність,8,10,Драган Наталя Петрівна,106,сто шість,"0,39",Не пройшов
УДАР,2,4,Маркута Оксана Петрівна,372,триста сімдесят два,"0,38",Не пройшов
Єдність Олександра Омельченка,12,8,Ворчилов Євген Георгійович,288,двісті вісімдесят вісім,"0,38",Не пройшов
ОПЗЖ,12,10,Сухом’яткін Костянтин Миколайович,284,двісті вісімдесят чотири,"0,38",Не пройшов
Перемога Пальчевського,7,5,Михайленко Владислав Олегович,283,двісті вісімдесят три,"0,38",Партія не пройшла
Єдність Олександра Омельченка,1,4,Баженова Олена Володимирівна,222,двісті двадцять два,"0,38",Не пройшов
Голос,13,4,Шелоков Владислав Васильович,213,двісті тринадцять,"0,38",Не пройшов
Свобода,10,3,Бабич Володимир Олегович,166,сто шістдесят шість,"0,38",Партія не пройшла
Сила і честь,11,10,Яремчук Світлана Миколаївна,160,сто шістдесят,"0,38",Партія не пройшла
Партія Шарія,8,2,Світличний Андрій Олександрович,103,сто три,"0,38",Партія не пройшла
Батьківщина,2,7,Нестор Віталій Романович,363,триста шістдесят три,"0,37",Міський список
Слуга народу,7,4,Антоненко Гліб Анатолійович,269,двісті шістдесят дев'ять,"0,37",Не пройшов
Слуга народу,1,4,Вітренко Андрій Олександрович,214,двісті чотирнадцять,"0,37",Міський список
Слуга народу,13,10,Шинкаренко Анна Володимирівна,210,двісті десять,"0,37",Не пройшов
Європейська солідарність,13,6,Єремєєв Микита Денисович,209,двісті дев'ять,"0,37",Не пройшов
Партія Шарія,13,3,Бабкін Віктор Віталійович,209,двісті дев'ять,"0,37",Партія не пройшла
Сила і честь,9,3,Чигрин Дмитро Вікторович,177,сто сімдесят сім,"0,37",Партія не пройшла
УДАР,4,5,Піоро Яна Ігорівна,177,сто сімдесят сім,"0,37",Не пройшов
Сила і честь,4,2,Тімохова Катерина Олександрівна,173,сто сімдесят три,"0,37",Партія не пройшла
Партія Шарія,3,3,Антипова Людмила Володимирівна,172,сто сімдесят два,"0,37",Партія не пройшла
Батьківщина,6,8,Максимова Катерина Валеріївна,158,сто п'ятдесят вісім,"0,37",Не пройшов
Партія Шарія,11,2,Лоскутова Таміла Василівна,157,сто п'ятдесят сім,"0,37",Партія не пройшла
Сила і честь,12,3,Гончар Олена Юріївна,274,двісті сімдесят чотири,"0,36",Партія не пройшла
ОПЗЖ,1,3,Марк Марія Володимирівна,208,двісті вісім,"0,36",Міський список
Слуга народу,4,3,Сажко Юлія Сергіївна,172,сто сімдесят два,"0,36",Не пройшов
За майбутнє,9,2,Тімченко Катерина Василівна,170,сто сімдесят,"0,36",Партія не пройшла
Голос,4,4,Хомюк Галина Олександрівна,169,сто шістдесят дев'ять,"0,36",Не пройшов
Сила і честь,4,3,Сторожук Олександр Володимирович,168,сто шістдесят вісім,"0,36",Партія не пройшла
Єдність Олександра Омельченка,4,7,Шолойко Тетяна Миколаївна,168,сто шістдесят вісім,"0,36",Не пройшов
За майбутнє,3,1,Камінський В’ячеслав Володимирович,166,сто шістдесят шість,"0,36",Партія не пройшла
Партія Шарія,10,3,Бодрий Артем Геннадійович,158,сто п'ятдесят вісім,"0,36",Партія не пройшла
Партія Шарія,11,3,Гранковський Юрій Ігорович,153,сто п'ятдесят три,"0,36",Партія не пройшла
Перемога Пальчевського,8,2,Федоренко Сергій Миколайович,98,дев'яносто вісім,"0,36",Партія не пройшла
Європейська солідарність,2,10,Чайка Ольга Юріївна,343,триста сорок три,"0,35",Міський список
УДАР,2,8,Бурсак Максим Олександрович,341,триста сорок один,"0,35",Не пройшов
Слуга народу,12,3,Івахненко Ірина Сергіївна,262,двісті шістдесят два,"0,35",Не пройшов
УДАР,12,9,Мостепан Тетяна Володимирівна,261,двісті шістдесят один,"0,35",Не пройшов
Єдність Олександра Омельченка,1,7,Суліма Євген Васильович,205,двісті п'ять,"0,35",Не пройшов
Рідна країна,1,2,Савицька Інна Миколаївна,203,двісті три,"0,35",Партія не пройшла
Голос,1,6,Соловйова Наталія Володимирівна,201,двісті один,"0,35",Не пройшов
Демократична сокира,13,3,Уманець Володимир Петрович,200,двісті,"0,35",Партія не пройшла
Партія Шарія,6,4,Ковальчук Нікіта Володимирович,153,сто п'ятдесят три,"0,35",Партія не пройшла
Слуга народу,5,6,Бурдукова Вікторія Вадимівна,153,сто п'ятдесят три,"0,35",Міський список
Єдність Олександра Омельченка,6,2,Сухов Олександр Сергійович,152,сто п'ятдесят два,"0,35",Не пройшов
Сила і честь,10,6,Бондар Ростислав Володимирович,151,сто п'ятдесят один,"0,35",Партія не пройшла
Єдність Олександра Омельченка,10,3,Уманський Володимир Віталійович,150,сто п'ятдесят,"0,35",Не пройшов
Європейська солідарність,10,9,Велика Євгенія Дмитрівна,150,сто п'ятдесят,"0,35",Не пройшов
Голос,6,7,Ніколайчук Марина Петрівна,149,сто сорок дев'ять,"0,35",Не пройшов
Перемога Пальчевського,11,4,Богданова Анастасія Андріївна,147,сто сорок сім,"0,35",Партія не пройшла
Єдність Олександра Омельченка,8,4,Безкоровайна Юлія Михайлівна,95,дев'яносто п'ять,"0,35",Не пройшов
Слуга народу,2,7,Федоренко Юрій Сергійович,329,триста двадцять дев'ять,"0,34",Міський список
Голос,2,6,Комаровський Сергій Миколайович,326,триста двадцять шість,"0,34",Не пройшов
Сила і честь,1,3,Гордієнко Юрій Миколайович,197,сто дев'яносто сім,"0,34",Партія не пройшла
УДАР,13,2,Велікін Олег Маркович,192,сто дев'яносто два,"0,34",Не пройшов
ОПЗЖ,4,4,Чернушич Олександр Олександрович,162,сто шістдесят два,"0,34",Не пройшов
Партія Шарія,4,2,Красновська Ірина Володимирівна,159,сто п'ятдесят дев'ять,"0,34",Партія не пройшла
Батьківщина,4,3,Марченко Олена Львівна,159,сто п'ятдесят дев'ять,"0,34",Міський список
Партія Шарія,10,4,Фролова Оксана Сергіївна,148,сто сорок вісім,"0,34",Партія не пройшла
Європейська солідарність,8,3,Палагусинець Олександра В’ячеславівна,94,дев'яносто чотири,"0,34",Не пройшов
Сила і честь,2,4,Правда Володимир Володимирович,324,триста двадцять чотири,"0,33",Партія не пройшла
ОПЗЖ,12,4,Тимків Ірина Анатоліївна,251,двісті п'ятдесят один,"0,33",Не пройшов
Голос,12,6,Забарна Юлія Миколаївна,250,двісті п'ятдесят,"0,33",Не пройшов
Слуга народу,13,7,Гурін Микола Володимирович,188,сто вісімдесят вісім,"0,33",Не пройшов
Рідна країна,3,1,Марчук Денис Володимирович,156,сто п'ятдесят шість,"0,33",Партія не пройшла
Сила і честь,3,4,Казаков Микола Олександрович,156,сто п'ятдесят шість,"0,33",Партія не пройшла
Перемога Пальчевського,4,2,Комарницький Олександр Сергійович,155,сто п'ятдесят п'ять,"0,33",Партія не пройшла
Голос,6,6,Хрутьба Андрій Сергійович,144,сто сорок чотири,"0,33",Не пройшов
Партія Шарія,5,4,Полякова Маргарита Вікторівна,142,сто сорок два,"0,33",Партія не пройшла
Голос,11,8,Юрчик Сергій Валерійович,141,сто сорок один,"0,33",Не пройшов
Батьківщина,8,3,Матвійчук Анатолій Миколайович,90,дев'яносто,"0,33",Не пройшов
Єдність Олександра Омельченка,2,6,Тихий Роман Іванович,314,триста чотирнадцять,"0,32",Не пройшов
Єдність Олександра Омельченка,2,5,Горбань Анна Григорівна,310,триста десять,"0,32",Не пройшов
Слуга народу,12,12,Степенко Олександр Миколайович,242,двісті сорок два,"0,32",Не пройшов
Сила і честь,7,5,Тігунов Петро Олександрович,235,двісті тридцять п'ять,"0,32",Партія не пройшла
Партія Шарія,1,3,Шабалов Антон Олександрович,185,сто вісімдесят п'ять,"0,32",Партія не пройшла
Слуга народу,13,6,Мохова Надія Володимирівна,184,сто вісімдесят чотири,"0,32",Не пройшов
Батьківщина,13,4,Ткаченко Наталія Олександрівна,182,сто вісімдесят два,"0,32",Не пройшов
Партія Шарія,5,3,Дяденко Роман Валерійович,141,сто сорок один,"0,32",Партія не пройшла
